figure	function	call	n	run	seconds	bytes
vector	var	var(x)	3000	0	1.55143909626179e-05	54774.3999999985
vector	var	var(x)	3000	1	1.49516371993331e-05	54774.3999999985
vector	var	var(x)	3000	2	1.43738480301591e-05	54774.3999999985
vector	var	var(x)	3000	3	1.40516607611029e-05	54774.3999999985
vector	var	var(x)	3000	4	1.39721879014024e-05	54774.3999999985
vector	var	var(x)	3000	5	1.41504648569468e-05	54774.3999999985
vector	var	var(x)	3000	6	1.35791194331539e-05	54774.3999999985
vector	quantile	quantile(x, c(.25,.5,.75))	3000	0	0.000142131532941546	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	1	0.000127332551138742	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	2	0.000115105084010533	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	3	0.00011772768838065	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	4	0.000112227031162807	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	5	0.000115871429443359	260129.600000001
vector	quantile	quantile(x, c(.25,.5,.75))	3000	6	0.000112601688929967	260129.600000001
vector	cor	cor(x, y)	3000	0	3.25194720564217e-05	46094.3999999985
vector	cor	cor(x, y)	3000	1	3.14342564549939e-05	46094.3999999985
vector	cor	cor(x, y)	3000	2	2.9925642342403e-05	46094.3999999985
vector	cor	cor(x, y)	3000	3	2.90829559852337e-05	46094.3999999985
vector	cor	cor(x, y)	3000	4	2.91569479580583e-05	46094.3999999985
vector	cor	cor(x, y)	3000	5	3.22563894863786e-05	46094.3999999985
vector	cor	cor(x, y)	3000	6	2.9173390618686e-05	46094.3999999985
vector	cov	cov(x, y)	3000	0	2.90364930123994e-05	41774.3999999985
vector	cov	cov(x, y)	3000	1	2.71652684067235e-05	41774.3999999985
vector	cov	cov(x, y)	3000	2	2.64138886422822e-05	41774.3999999985
vector	cov	cov(x, y)	3000	3	3.07704463149562e-05	41774.3999999985
vector	cov	cov(x, y)	3000	4	2.68257025516394e-05	41774.3999999985
vector	cov	cov(x, y)	3000	5	2.63849894205729e-05	41774.3999999985
vector	cov	cov(x, y)	3000	6	2.56552840724136e-05	41774.3999999985
vector	sum	sum(x)	10000	0	9.53445067772498e-06	107105.600000001
vector	sum	sum(x)	10000	1	9.36251420241136e-06	107105.600000001
vector	sum	sum(x)	10000	2	9.08741584190955e-06	107105.600000001
vector	sum	sum(x)	10000	3	8.93611174363356e-06	107105.600000001
vector	sum	sum(x)	10000	4	8.87650709885817e-06	107105.600000001
vector	sum	sum(x)	10000	5	8.87192212618314e-06	107105.600000001
vector	sum	sum(x)	10000	6	8.53721912090595e-06	107105.600000001
