figure	function	call	n	run	seconds	bytes	version
vector	mean	np.mean(x)	10000	6	0.000004340	152	3.14.2
vector	median	np.median(x)	10000	0	0.000088431	83272	3.14.2
vector	median	np.median(x)	10000	1	0.000084267	83272	3.14.2
vector	median	np.median(x)	10000	2	0.000083050	83272	3.14.2
vector	median	np.median(x)	10000	3	0.000082858	83272	3.14.2
vector	median	np.median(x)	10000	4	0.000082516	83272	3.14.2
vector	median	np.median(x)	10000	5	0.000082688	83272	3.14.2
vector	median	np.median(x)	10000	6	0.000082615	83272	3.14.2
vector	sd	np.std(x, ddof=1)	10000	0	0.000014360	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	1	0.000014460	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	2	0.000014339	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	3	0.000014261	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	4	0.000014309	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	5	0.000014181	81280	3.14.2
vector	sd	np.std(x, ddof=1)	10000	6	0.000014259	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	0	0.000013802	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	1	0.000013771	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	2	0.000013714	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	3	0.000013848	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	4	0.000013840	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	5	0.000013869	81280	3.14.2
vector	var	np.var(x, ddof=1)	10000	6	0.000013848	81280	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	0	0.000184678	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	1	0.000179703	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	2	0.000179409	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	3	0.000179140	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	4	0.000178852	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	5	0.000178081	84384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	10000	6	0.000178727	84384	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	0	0.000053104	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	1	0.000051149	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	2	0.000050601	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	3	0.000050848	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	4	0.000050441	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	5	0.000050809	240496	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	10000	6	0.000050558	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	0	0.000043825	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	1	0.000043733	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	2	0.000043682	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	3	0.000043664	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	4	0.000043723	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	5	0.000044615	240496	3.14.2
vector	cov	np.cov(x, y)[0, 1]	10000	6	0.000043927	240496	3.14.2
vector	skew	scipy.stats.skew(x)	10000	0	0.000446121	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	1	0.000429283	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	2	0.000421962	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	3	0.000423479	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	4	0.000425062	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	5	0.000426834	164200	3.14.2
vector	skew	scipy.stats.skew(x)	10000	6	0.000431262	164200	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	0	0.000450109	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	1	0.000426470	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	2	0.000431402	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	3	0.000433807	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	4	0.000432331	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	5	0.000430227	164263	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	10000	6	0.000434118	164263	3.14.2
vector	sum	np.sum(x)	30000	0	0.000006775	128	3.14.2
vector	sum	np.sum(x)	30000	1	0.000006851	128	3.14.2
vector	sum	np.sum(x)	30000	2	0.000006827	128	3.14.2
vector	sum	np.sum(x)	30000	3	0.000006849	128	3.14.2
vector	sum	np.sum(x)	30000	4	0.000006835	128	3.14.2
vector	sum	np.sum(x)	30000	5	0.000006892	128	3.14.2
vector	sum	np.sum(x)	30000	6	0.000006844	128	3.14.2
vector	min	np.min(x)	30000	0	0.000006118	128	3.14.2
vector	min	np.min(x)	30000	1	0.000005833	128	3.14.2
vector	min	np.min(x)	30000	2	0.000005879	128	3.14.2
vector	min	np.min(x)	30000	3	0.000005858	128	3.14.2
vector	min	np.min(x)	30000	4	0.000005846	128	3.14.2
vector	min	np.min(x)	30000	5	0.000005914	128	3.14.2
vector	min	np.min(x)	30000	6	0.000005863	128	3.14.2
vector	max	np.max(x)	30000	0	0.000005874	128	3.14.2
vector	max	np.max(x)	30000	1	0.000005851	128	3.14.2
vector	max	np.max(x)	30000	2	0.000005888	128	3.14.2
vector	max	np.max(x)	30000	3	0.000005852	128	3.14.2
vector	max	np.max(x)	30000	4	0.000005861	128	3.14.2
vector	max	np.max(x)	30000	5	0.000005863	128	3.14.2
vector	max	np.max(x)	30000	6	0.000005823	128	3.14.2
vector	mean	np.mean(x)	30000	0	0.000007649	152	3.14.2
vector	mean	np.mean(x)	30000	1	0.000007762	152	3.14.2
vector	mean	np.mean(x)	30000	2	0.000007753	152	3.14.2
vector	mean	np.mean(x)	30000	3	0.000007720	152	3.14.2
vector	mean	np.mean(x)	30000	4	0.000007728	152	3.14.2
vector	mean	np.mean(x)	30000	5	0.000007719	152	3.14.2
vector	mean	np.mean(x)	30000	6	0.000007728	152	3.14.2
vector	median	np.median(x)	30000	0	0.000302082	243272	3.14.2
vector	median	np.median(x)	30000	1	0.000301743	243272	3.14.2
vector	median	np.median(x)	30000	2	0.000302387	243272	3.14.2
vector	median	np.median(x)	30000	3	0.000298587	243272	3.14.2
vector	median	np.median(x)	30000	4	0.000299850	243272	3.14.2
vector	median	np.median(x)	30000	5	0.000302219	243272	3.14.2
vector	median	np.median(x)	30000	6	0.000300626	243272	3.14.2
vector	sd	np.std(x, ddof=1)	30000	0	0.000028194	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	1	0.000027133	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	2	0.000027053	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	3	0.000027107	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	4	0.000027159	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	5	0.000026936	241280	3.14.2
vector	sd	np.std(x, ddof=1)	30000	6	0.000026913	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	0	0.000026771	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	1	0.000026538	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	2	0.000026570	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	3	0.000026775	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	4	0.000026528	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	5	0.000026602	241280	3.14.2
vector	var	np.var(x, ddof=1)	30000	6	0.000026559	241280	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	0	0.000486012	244384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	1	0.000473813	244384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	30000	2	0.000474647	244384	3.14.2
