figure	function	call	n	run	seconds	bytes	language	version
vector	max	max($x)	3000	5	3.30745449915589e-06	0	Stats::LikeR	0.321
vector	max	max($x)	3000	6	3.31282615661621e-06	0	Stats::LikeR	0.321
vector	sum	List::Util::sum(@$x)	3000	0	1.35969759812996e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	1	1.33631112692239e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	2	1.34511710771548e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	3	1.33817158048115e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	4	1.36414570594901e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	5	1.36753608440531e-05	24576	List::Util	1.70
vector	sum	List::Util::sum(@$x)	3000	6	1.34964922924975e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	0	1.33595914922209e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	1	1.34195600237165e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	2	1.32544287319841e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	3	1.29635654278656e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	4	1.38559511729649e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	5	1.28646691640218e-05	24576	List::Util	1.70
vector	min	List::Util::min(@$x)	3000	6	1.41201732314636e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	0	1.30940997411334e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	1	1.22934579849243e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	2	1.17910442067616e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	3	1.23609514797435e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	4	1.21273211578825e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	5	1.19066645956447e-05	24576	List::Util	1.70
vector	max	List::Util::max(@$x)	3000	6	1.24635981090033e-05	24576	List::Util	1.70
vector	mean	mean($x)	3000	0	2.16169395910101e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	1	2.16029939197359e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	2	2.15204138504831e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	3	2.15973172869001e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	4	2.15019604000883e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	5	2.16603761742472e-06	4096	Stats::LikeR	0.321
vector	mean	mean($x)	3000	6	2.15647021314308e-06	4096	Stats::LikeR	0.321
